["2024-02-05T09:56:53.938", "DEBUG", "ubuntupro.config", "parse_config", 633, "Using client configuration file at /etc/ubuntu-advantage/uaclient.conf", {}]
["2024-02-05T09:56:53.938", "DEBUG", "ubuntupro.system", "load_file", 517, "Reading file: /etc/ubuntu-advantage/uaclient.conf", {}]
["2024-02-05T09:56:53.939", "DEBUG", "ubuntupro.files.files", "read", 60, "Tried to load /var/lib/ubuntu-advantage/user-config.json but file does not exist", {}]
["2024-02-05T09:56:53.943", "DEBUG", "ubuntupro.http", "configure_web_proxy", 146, "Setting no_proxy: 169.254.169.254,[fd00:ec2::254],metadata", {}]
["2024-02-05T09:56:53.943", "DEBUG", "ubuntupro.http", "configure_web_proxy", 154, "Setting global proxy dict", {}]
["2024-02-05T09:56:53.943", "DEBUG", "ubuntupro.cli", "main", 1821, "Executed with sys.argv: ['/usr/bin/pro', 'security-status', '--format=json']", {}]
["2024-02-05T09:56:53.944", "DEBUG", "ubuntupro.files.files", "read", 60, "Tried to load /var/lib/ubuntu-advantage/machine-token.json but file does not exist", {}]
["2024-02-05T09:56:54.174", "DEBUG", "ubuntupro.system", "load_file", 517, "Reading file: /etc/os-release", {}]
["2024-02-05T09:56:54.182", "DEBUG", "ubuntupro.livepatch", "status", 126, "canonical-livepatch is not installed", {}]
["2024-02-05T09:56:54.183", "DEBUG", "ubuntupro.livepatch", "status", 126, "canonical-livepatch is not installed", {}]
["2024-02-05T09:56:54.183", "DEBUG", "ubuntupro.system", "load_file", 517, "Reading file: /proc/version_signature", {}]
